uid,source,source_object_id,title,artist_display,date_display,medium,department,image_url,iiif_image_id,license_or_rights,object_url,search_queries,raw_source
655b8baa-3440-489a-8d50-27bfa4262f72,artic,10927,"Saint Benedict Presenting his Rule to Benedictine and Cistercian Monks in a Historiated Initial ""O"" from a Choirbook","Italian (Siena)
Martino di Bartolomeo (Italian, 1389-1434/5)
1394/95",1394/95,"Manuscript cutting with tempera and gold leaf, with rounded gothica textualis inscriptions in black ink, ruled in red, on parchment",Prints and Drawings,"https://www.artic.edu/iiif/2/54f0b704-7108-5b91-1d0f-585758267fb4/full/!2000,2000/0/default.jpg",54f0b704-7108-5b91-1d0f-585758267fb4,public_domain,https://www.artic.edu/artworks/10927,American history,"{""_score"": 36.52182, ""id"": 10927, ""title"": ""Saint Benedict Presenting his Rule to Benedictine and Cistercian Monks in a Historiated Initial \""O\"" from a Choirbook"", ""date_display"": ""1394/95"", ""artist_display"": ""Italian (Siena)\nMartino di Bartolomeo (Italian, 1389-1434/5)\n1394/95"", ""medium_display"": ""Manuscript cutting with tempera and gold leaf, with rounded gothica textualis inscriptions in black ink, ruled in red, on parchment"", ""is_public_domain"": true, ""artwork_type_title"": ""Drawing and Watercolor"", ""department_title"": ""Prints and Drawings"", ""image_id"": ""54f0b704-7108-5b91-1d0f-585758267fb4""}"
43691623-239b-41f6-9b8a-7aeab71a0c18,artic,109294,Fruit and Flowers Quilt,"Possibly Baltimore, United States",1845/50,"Cotton, plain weave; quilted; appliquéd with plain weaves, some printed, some glazed, some padded; embroidered in buttonhole, chain, satin, and straight stitches",Textiles,"https://www.artic.edu/iiif/2/5c5dcbfa-58aa-f181-c9b2-77e42e0b8597/full/!2000,2000/0/default.jpg",5c5dcbfa-58aa-f181-c9b2-77e42e0b8597,public_domain,https://www.artic.edu/artworks/109294,United States,"{""_score"": 440.5218, ""id"": 109294, ""title"": ""Fruit and Flowers Quilt"", ""date_display"": ""1845/50"", ""artist_display"": ""Possibly Baltimore, United States"", ""medium_display"": ""Cotton, plain weave; quilted; appliquéd with plain weaves, some printed, some glazed, some padded; embroidered in buttonhole, chain, satin, and straight stitches"", ""is_public_domain"": true, ""artwork_type_title"": ""Textile"", ""department_title"": ""Textiles"", ""image_id"": ""5c5dcbfa-58aa-f181-c9b2-77e42e0b8597""}"
20185bf2-de39-488f-b168-f2088499d87f,artic,109780,Love of Winter,"George Wesley Bellows (American, 1882–1925)",1914,Oil on canvas,Arts of the Americas,"https://www.artic.edu/iiif/2/18ab0c35-e35c-0216-9afd-f93357920db1/full/!2000,2000/0/default.jpg",18ab0c35-e35c-0216-9afd-f93357920db1,public_domain,https://www.artic.edu/artworks/109780,American history,"{""_score"": 39.393955, ""id"": 109780, ""title"": ""Love of Winter"", ""date_display"": ""1914"", ""artist_display"": ""George Wesley Bellows (American, 1882–1925)"", ""medium_display"": ""Oil on canvas"", ""is_public_domain"": true, ""artwork_type_title"": ""Painting"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""18ab0c35-e35c-0216-9afd-f93357920db1""}"
36ab4ff2-cc7b-46d1-90f0-3e5ba0425f24,artic,11,Self-Portrait,"Walter Shirlaw (American, 1838–1909)",1878,Oil on canvas,Arts of the Americas,"https://www.artic.edu/iiif/2/7b7a6f39-1cd8-ea2f-9811-18b0e23edac0/full/!2000,2000/0/default.jpg",7b7a6f39-1cd8-ea2f-9811-18b0e23edac0,public_domain,https://www.artic.edu/artworks/11,American history,"{""_score"": 58.89243, ""id"": 11, ""title"": ""Self-Portrait"", ""date_display"": ""1878"", ""artist_display"": ""Walter Shirlaw (American, 1838–1909)"", ""medium_display"": ""Oil on canvas"", ""is_public_domain"": true, ""artwork_type_title"": ""Painting"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""7b7a6f39-1cd8-ea2f-9811-18b0e23edac0""}"
4cdc1808-dbd4-43e6-8a66-ed069093b85e,artic,110560,Basket,"Pomo
California, United States",Late 19th century,Plant fibers,Arts of the Americas,"https://www.artic.edu/iiif/2/cd10eb58-caee-ce77-5b96-d67efc354a3f/full/!2000,2000/0/default.jpg",cd10eb58-caee-ce77-5b96-d67efc354a3f,public_domain,https://www.artic.edu/artworks/110560,United States,"{""_score"": 479.5301, ""id"": 110560, ""title"": ""Basket"", ""date_display"": ""Late 19th century"", ""artist_display"": ""Pomo\nCalifornia, United States"", ""medium_display"": ""Plant fibers"", ""is_public_domain"": true, ""artwork_type_title"": ""Basketry"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""cd10eb58-caee-ce77-5b96-d67efc354a3f""}"
c50822ab-880a-490b-88d2-4f34f89db004,artic,110561,A Silver Morning,"George Inness (American, 1825–1894)",1886,Oil on canvas,Arts of the Americas,"https://www.artic.edu/iiif/2/faeeb5d7-0366-f3c4-5251-63cd5fdc9148/full/!2000,2000/0/default.jpg",faeeb5d7-0366-f3c4-5251-63cd5fdc9148,public_domain,https://www.artic.edu/artworks/110561,George Washington,"{""_score"": 42.227627, ""id"": 110561, ""title"": ""A Silver Morning"", ""date_display"": ""1886"", ""artist_display"": ""George Inness (American, 1825–1894)"", ""medium_display"": ""Oil on canvas"", ""is_public_domain"": true, ""artwork_type_title"": ""Painting"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""faeeb5d7-0366-f3c4-5251-63cd5fdc9148""}"
44a2c188-34ff-4fdc-a4fc-715ca0aee598,artic,111377,For Sunday's Dinner,"William Michael Harnett (American, born Ireland, 1848–1892)",1888,Oil on canvas,Arts of the Americas,"https://www.artic.edu/iiif/2/3cea045a-92d6-36cf-1508-2c99ea740218/full/!2000,2000/0/default.jpg",3cea045a-92d6-36cf-1508-2c99ea740218,public_domain,https://www.artic.edu/artworks/111377,American history,"{""_score"": 35.23974, ""id"": 111377, ""title"": ""For Sunday's Dinner"", ""date_display"": ""1888"", ""artist_display"": ""William Michael Harnett (American, born Ireland, 1848–1892)"", ""medium_display"": ""Oil on canvas"", ""is_public_domain"": true, ""artwork_type_title"": ""Painting"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""3cea045a-92d6-36cf-1508-2c99ea740218""}"
c3e33c52-f37d-4322-afce-17f802618db7,artic,111649,Abraham's Sacrifice of Isaac,"David Teniers the Younger (Flemish, 1610–1690)
After Paolo Veronese (Italian, 1528–1588)",1654–56,Oil on panel,Painting and Sculpture of Europe,"https://www.artic.edu/iiif/2/11f33728-685f-c85c-2326-cd0e42536044/full/!2000,2000/0/default.jpg",11f33728-685f-c85c-2326-cd0e42536044,public_domain,https://www.artic.edu/artworks/111649,Abraham Lincoln,"{""_score"": 63.748325, ""id"": 111649, ""title"": ""Abraham's Sacrifice of Isaac"", ""date_display"": ""1654–56"", ""artist_display"": ""David Teniers the Younger (Flemish, 1610–1690)\nAfter Paolo Veronese (Italian, 1528–1588)"", ""medium_display"": ""Oil on panel"", ""is_public_domain"": true, ""artwork_type_title"": ""Painting"", ""department_title"": ""Painting and Sculpture of Europe"", ""image_id"": ""11f33728-685f-c85c-2326-cd0e42536044""}"
795dd5c8-e98f-43c1-a091-86c012e68aff,artic,111659,Abraham Lincoln,"Daniel Chester French (American, 1850–1931)","Modeled 1916, cast after 1916",Bronze,Arts of the Americas,"https://www.artic.edu/iiif/2/a22d1c57-2ffb-10b0-7d9b-b3d346bf2c6f/full/!2000,2000/0/default.jpg",a22d1c57-2ffb-10b0-7d9b-b3d346bf2c6f,public_domain,https://www.artic.edu/artworks/111659,Abraham Lincoln,"{""_score"": 2120.772, ""id"": 111659, ""title"": ""Abraham Lincoln"", ""date_display"": ""Modeled 1916, cast after 1916"", ""artist_display"": ""Daniel Chester French (American, 1850–1931)"", ""medium_display"": ""Bronze"", ""is_public_domain"": true, ""artwork_type_title"": ""Sculpture"", ""department_title"": ""Arts of the Americas"", ""image_id"": ""a22d1c57-2ffb-10b0-7d9b-b3d346bf2c6f""}"
0b548faa-9f4a-42e8-a4ae-71bf1e5ead63,artic,111836,"Abraham Francen, Apothecary","Rembrandt van Rijn
Dutch, 1606-1669",c. 1657,Etching and drypoint in black on paper,Prints and Drawings,"https://www.artic.edu/iiif/2/bf51378e-f049-fd27-1b02-540f87f34194/full/!2000,2000/0/default.jpg",bf51378e-f049-fd27-1b02-540f87f34194,public_domain,https://www.artic.edu/artworks/111836,Abraham Lincoln,"{""_score"": 46.79568, ""id"": 111836, ""title"": ""Abraham Francen, Apothecary"", ""date_display"": ""c. 1657"", ""artist_display"": ""Rembrandt van Rijn\nDutch, 1606-1669"", ""medium_display"": ""Etching and drypoint in black on paper"", ""is_public_domain"": true, ""artwork_type_title"": ""Print"", ""department_title"": ""Prints and Drawings"", ""image_id"": ""bf51378e-f049-fd27-1b02-540f87f34194""}"
