ID,cawp_name,ilga_name,chamber,general_assembly,ilga_all_bills_count,ilga_primary_bills_count,ilga_cosponsored_bills_count,ilga_healthcare_all_count,ilga_healthcare_primary_count,ilga_healthcare_cosponsored_count,ilga_employment_all_count,ilga_employment_primary_count,ilga_employment_cosponsored_count,ilga_education_children_all_count,ilga_education_children_primary_count,ilga_education_children_cosponsored_count
208356k,Cynthia Soto,Cynthia Soto,House,99,212,19,193,36,3,33,14,3,11,48,9,39
212690k,Elaine Nekritz,Elaine Nekritz,House,99,174,81,93,19,7,12,25,17,8,15,4,11
250823k,Elizabeth Hernandez,Elizabeth Hernandez,House,99,195,32,163,29,3,26,15,3,12,40,8,32
12454c,Esther Golar,Esther Golar,House,99,93,23,70,14,5,9,5,1,4,24,10,14
387344k,Frances Ann Hurley,Frances Ann Hurley,House,99,133,14,119,15,1,14,9,2,7,14,0,14
387453k,Jeanne M. Ives,Jeanne M Ives,House,99,120,40,80,3,1,2,25,13,12,19,5,14
387579k,Katherine Cloonen,Katherine Cloonen,House,99,177,23,154,8,0,8,5,0,5,24,2,22
387571k,Kathleen Willis,Kathleen Willis,House,99,207,26,181,22,1,21,13,1,12,35,3,32
343438k,Kelly M. Cassidy,Kelly M. Cassidy,House,99,223,62,161,44,6,38,16,2,14,27,3,24
387347k,Laura Fine,Laura Fine,House,99,204,33,171,34,1,33,13,2,11,31,3,28
212697k,Linda Chapa LaVia,Linda Chapa LaVia,House,99,313,55,258,30,2,28,18,1,17,73,20,53
507765k,Litesa E. Wallace,Litesa E. Wallace,House,99,232,29,203,32,3,29,20,2,18,46,9,37
386896k,Mary E. Flowers,Mary E. Flowers,House,99,258,53,205,35,7,28,19,2,17,53,19,34
561273k,Melissa Conyears,Melissa Conyears,House,99,2,0,2,0,0,0,0,0,0,0,0,0
289863k,Michelle Mussman,Michelle Mussman,House,99,161,21,140,18,1,17,8,0,8,31,6,25
