State,Year,Law Passed,Law Description,Law Link,Sentiment,Reasoning
California,2012,CA A 2015 - Criminal Procedure: Telephone Calls: Arrested Parents,Mandates that arresting officers must ask if the arrested person is a custodial parent and inform them of their right to two additional phone calls regardless of immigration status. Signs in multiple languages must be posted.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
Arizona,2011,AZ S 1046 - Juvenile Discharge and Immigration Detainer Regulations,Mandates that a youth held in state custody may be discharged if ICE enforces a detainer demanding custody of the youth for immigration proceedings.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Anti-Immigration,
Arizona,2011,AZ S 1117 - Immigration Legislation Challenges,Allows the Speaker of the House and Senate President to direct counsel to initiate legal proceedings regarding any challenge to immigration law SB1070.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Anti-Immigration,
Arizona,2011,AZ S 1398 - Gang and Immigration Intelligence Team Enforcement,Funds Arizona's Gang and Immigration Intelligence Team by levying a penalty assessment on fines collected for civil traffic and motor vehicle violations.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Anti-Immigration,
Arizona,2011,AZ H 2191 - Prohibited Actions by Illegal Aliens,Stipulates that a person unlawfully present in the United States shall not be awarded punitive damages in any court action.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Anti-Immigration,
Arizona,2010,AZ S 1027 - Immigration and Seismic Sensors,"Requires the department of public safety to seek grants for a one-year pilot program using seismic sensors to monitor rural areas where illegal drug traffic, illegal alien traffic, or human smuggling are likely to occur.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Anti-Immigration,
Arizona,2010,AZ S 1070 - Immigration Laws,"Covers multiple issues related to illegal immigration including establishing state crimes and penalties for trespassing by illegal aliens, failure to carry alien registration documents, stopping to hire or soliciting work, and transporting, harboring, or concealing unlawful aliens.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Anti-Immigration,
Arizona,2010,AZ H 2162 - Immigration and Border Security,"Amends SB 1070 to specify law enforcement cannot consider race, color, or national origin. Clarifies 'reasonable suspicion' language requiring immigration status checks only during lawful stops, detentions, or arrests. Lowers fines for violations.",https://www.ncsl.org/immigration/immigration-legislation-archived-database,Anti-Immigration,
Arizona,2009,AZ S 1188 - Budget,Specifies appropriations including funds for English language learners and immigration enforcement.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Anti-Immigration,
California,2009,CA A 132 - School Safety: Immigration Investigations,Would have made it state policy that immigration agents shall not interfere with education of pupils. Would have prohibited schools from collecting information about immigration status of pupils or families. Vetoed by the Governor.,https://www.ncsl.org/immigration/immigration-legislation-archived-database,Pro-Immigration,
